** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,16
town.txt,451617,10000,58
large-town.txt,2255053,50000,93
city.txt,4511688,100000,140
large-city.txt,22554540,500000,681
metropolis.txt,45107513,1000000,1300
capital.txt,90209834,2000000,3111
megalopolis.txt,227564229,5000000,9055
Hashtable:
village.txt,4561,100,2
small-town.txt,44892,1000,5
town.txt,451617,10000,11
large-town.txt,2255053,50000,55
city.txt,4511688,100000,64
large-city.txt,22554540,500000,471
metropolis.txt,45107513,1000000,765
capital.txt,90209834,2000000,1772
megalopolis.txt,227564229,5000000,5114
